property_type,sector_info,society,price,price_per_sqft,area,areaWithType,carpet_area,built_up_area,super_built_area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,study room,store room,pooja room,others,servant room,furnishing_type,luxury_score
ind. house,sector 24,dlf city plots phase 3,5.0,34083.0,1467.0,Plot area 163(136.29 sq.m.),,1467.0,,13.0,13.0,3+ ,4.0,North,New Property,0,0,1,0,0,0,91
ind. house,sector 105,rajendra park gurgaon,0.37,10277.0,360.0,Plot area 360(33.45 sq.m.),,360.0,,4.0,3.0,2 ,3.0,East,Relatively New,0,0,0,0,0,1,0
flat,sector 12,ss residency,0.53,4818.0,1100.04,Super Built up area 1100(102.19 sq.m.),,,1100.0,3.0,3.0,2 ,2.0,,Relatively New,0,0,0,0,0,2,14
flat,sector 109,ats kocoon,1.7,9742.0,1745.02,Super Built up area 1745(162.12 sq.m.)Built Up area: 1550 sq.ft. (144 sq.m.),,1550.0,1745.0,3.0,3.0,3 ,22.0,East,Relatively New,0,0,0,0,0,1,74
flat,sector 37c,corona optus,1.5,6361.0,2358.12,Super Built up area 2358(219.07 sq.m.),,,2358.0,3.0,4.0,3+ ,14.0,North-East,New Property,0,0,0,1,1,1,83
ind. house,sector 108,,1.34,5000.0,2680.0,Built Up area: 2680 (248.98 sq.m.),,2680.0,,1.0,1.0,0,1.0,,undefined,0,0,0,0,0,1,0
ind. house,sector 66,emaar mgf marbella,18.0,55556.0,3240.0,Plot area 360(301.01 sq.m.),,3240.0,,4.0,4.0,3+ ,3.0,East,Moderately old,1,0,1,0,1,0,75
flat,sector 109,ats tourmaline,1.45,6744.0,2150.06,Super Built up area 2150(199.74 sq.m.)Built Up area: 1797 sq.ft. (166.95 sq.m.)Carpet area: 1660 sq.ft. (154.22 sq.m.),1660.0,1797.0,2150.0,3.0,4.0,3+ ,4.0,North-West,Relatively New,0,0,0,0,1,1,71
ind. house,sector 26,dlf city plots,13.5,29880.0,4518.0,Plot area 502(419.74 sq.m.),,4518.0,,5.0,5.0,3 ,2.0,East,old Property,1,1,1,0,1,2,110
ind. house,sector 3a,not applicable,0.4,9259.0,432.0,Plot area 432(40.13 sq.m.),,432.0,,1.0,1.0,1 ,1.0,,Moderately old,0,0,0,0,0,1,0
